price,accommodates,bathrooms,bedrooms,room_type,neighbourhood,CristoRedentor
140.0,3,1.0,1.0,Entire home/apt,Santa Teresa,4.541682034701395
642.0,8,2.0,3.0,Entire home/apt,Copacabana,4.18725498636253
380.0,2,1.0,1.0,Private room,Copacabana,3.6451522334690614
456.0,2,1.0,1.0,Entire home/apt,Copacabana,3.537657397147655
816.0,6,2.0,2.0,Entire home/apt,Copacabana,4.170776941844754
129.0,2,1.0,1.0,Private room,Copacabana,3.4078901355702644
228.0,2,1.0,1.0,Private room,Leblon,3.7042077154715853
121.0,2,1.0,1.0,Entire home/apt,Santa Teresa,4.5699006668898
148.0,2,,1.0,Entire home/apt,Santa Teresa,4.292338465539998
349.0,5,1.0,2.0,Entire home/apt,Copacabana,3.170233346651554
121.0,2,1.5,1.0,Private room,Botafogo,2.992907477543573
235.0,5,1.5,2.0,Entire home/apt,Ipanema,3.778646779374045
61.0,1,1.0,1.0,Private room,Botafogo,2.360090088697419
550.0,2,1.0,1.0,Private room,Barra da Tijuca,12.39347750554603
84.0,2,2.0,1.0,Private room,Ipanema,4.072423198943019
858.0,6,2.0,3.0,Entire home/apt,Ipanema,3.859479770403165
201.0,2,1.0,1.0,Private room,Barra da Tijuca,11.222111516080563
201.0,5,1.0,1.0,Entire home/apt,Copacabana,3.8515531312724613
49.0,3,1.0,1.0,Private room,Santa Teresa,4.3826784054589965
152.0,2,1.0,1.0,Entire home/apt,Ipanema,4.331474551800574
247.0,3,2.0,1.0,Private room,Laranjeiras,2.962919772346085
247.0,3,1.0,1.0,Entire home/apt,Copacabana,3.4698970422308513
209.0,2,1.0,1.0,Entire home/apt,Copacabana,3.4826242167558554
251.0,4,,1.0,Private room,Lapa,5.144135070455831
91.0,2,1.0,1.0,Private room,Flamengo,4.327281503861066
588.0,6,3.0,3.0,Entire home/apt,Ipanema,3.4486235110424377
110.0,2,1.0,1.0,Private room,Tijuca,3.844641054279666
1974.0,6,2.0,3.0,Private room,Copacabana,4.203002295910278
698.0,2,1.5,1.0,Private room,Copacabana,3.478742117646936
186.0,2,2.5,2.0,Private room,Copacabana,4.2232681905951175
38.0,2,1.0,1.0,Private room,Copacabana,4.430857921308475
110.0,2,1.0,2.0,Private room,Copacabana,4.365145056583418
569.0,2,1.0,1.0,Private room,Flamengo,3.6952526247331927
998.0,7,2.0,3.0,Entire home/apt,Ipanema,3.791811797057508
159.0,4,1.0,1.0,Entire home/apt,Santa Teresa,5.108930489505629
201.0,2,1.0,1.0,Private room,Tijuca,4.072015155109038
300.0,2,2.5,1.0,Private room,Copacabana,3.727651661968761
175.0,2,1.0,1.0,Entire home/apt,Recreio dos Bandeirantes,24.271800633226867
224.0,4,2.5,2.0,Entire home/apt,Copacabana,3.6357522842482677
91.0,2,1.0,1.0,Entire home/apt,Ipanema,3.6370513844668317
201.0,2,1.0,1.0,Private room,Leblon,3.5651748523983326
232.0,6,1.5,2.0,Entire home/apt,Flamengo,4.019948282513646
91.0,2,,1.0,Entire home/apt,Copacabana,3.5816421978333812
251.0,2,1.0,1.0,Entire home/apt,Barra da Tijuca,18.2896225152234
121.0,4,,1.0,Entire home/apt,Copacabana,3.7447713086033767
349.0,4,,1.0,Entire home/apt,Copacabana,3.529377424725994
201.0,3,2.0,1.0,Entire home/apt,Flamengo,3.7276467029595883
152.0,5,1.0,1.0,Entire home/apt,Copacabana,3.803855834459499
